customer_state,product_category
AC,moveis_decoracao
AL,beleza_saude
AM,informatica_acessorios
AP,informatica_acessorios
BA,beleza_saude
CE,beleza_saude
DF,informatica_acessorios
ES,cama_mesa_banho
GO,automotivo
MA,informatica_acessorios
MG,cama_mesa_banho
MS,esporte_lazer
MT,beleza_saude
PA,beleza_saude
PB,beleza_saude
PE,beleza_saude
PI,automotivo
PR,moveis_decoracao
RJ,cama_mesa_banho
RN,beleza_saude
RO,beleza_saude
RR,esporte_lazer
RS,informatica_acessorios
SC,informatica_acessorios
SE,beleza_saude
SP,cama_mesa_banho
TO,beleza_saude
